record_id,scenario_id,input_file
R001,NET_016,R001.json
R002,NORMAL_008,R002.json
R003,USB_001,R003.json
R004,PERSIST_005,R004.json
R005,NORMAL_014,R005.json
R006,SEC_017,R006.json
R007,PERSIST_012,R007.json
R008,USB_016,R008.json
R009,NET_015,R009.json
R010,NORMAL_012,R010.json
R011,PROC_005,R011.json
R012,SEC_003,R012.json
R013,SEC_015,R013.json
R014,PERSIST_004,R014.json
R015,AUTH_006,R015.json
R016,SEC_014,R016.json
R017,SEC_016,R017.json
R018,SEC_005,R018.json
R019,USB_002,R019.json
R020,AUTH_015,R020.json
R021,NET_004,R021.json
R022,PROC_007,R022.json
R023,PROC_003,R023.json
R024,PROC_010,R024.json
R025,PERSIST_016,R025.json
R026,AUTH_008,R026.json
R027,SEC_008,R027.json
R028,AUTH_005,R028.json
R029,USB_007,R029.json
R030,USB_012,R030.json
R031,AUTH_017,R031.json
R032,PERSIST_015,R032.json
R033,USB_004,R033.json
R034,NET_014,R034.json
R035,PERSIST_001,R035.json
R036,USB_005,R036.json
R037,USB_015,R037.json
R038,NORMAL_015,R038.json
R039,NORMAL_002,R039.json
R040,NET_006,R040.json
R041,NET_008,R041.json
R042,NET_007,R042.json
R043,NORMAL_018,R043.json
R044,NORMAL_017,R044.json
R045,NET_002,R045.json
R046,NET_005,R046.json
R047,NET_009,R047.json
R048,AUTH_002,R048.json
R049,PROC_004,R049.json
R050,AUTH_003,R050.json
R051,SEC_010,R051.json
R052,NORMAL_004,R052.json
R053,PERSIST_011,R053.json
R054,SEC_006,R054.json
R055,USB_011,R055.json
R056,PROC_002,R056.json
R057,NORMAL_010,R057.json
R058,PERSIST_007,R058.json
R059,NORMAL_003,R059.json
R060,NET_012,R060.json
R061,AUTH_001,R061.json
R062,NORMAL_009,R062.json
R063,PERSIST_008,R063.json
R064,PROC_008,R064.json
R065,NET_013,R065.json
R066,AUTH_007,R066.json
R067,AUTH_009,R067.json
R068,NORMAL_001,R068.json
R069,PROC_012,R069.json
R070,PERSIST_010,R070.json
R071,AUTH_004,R071.json
R072,SEC_004,R072.json
R073,AUTH_011,R073.json
R074,NORMAL_005,R074.json
R075,NET_017,R075.json
R076,PERSIST_002,R076.json
R077,AUTH_012,R077.json
R078,NET_010,R078.json
R079,USB_017,R079.json
R080,PERSIST_013,R080.json
R081,AUTH_014,R081.json
R082,PERSIST_009,R082.json
R083,USB_013,R083.json
R084,USB_008,R084.json
R085,PROC_009,R085.json
R086,PROC_016,R086.json
R087,SEC_007,R087.json
R088,USB_014,R088.json
R089,SEC_009,R089.json
R090,USB_009,R090.json
R091,PROC_011,R091.json
R092,SEC_013,R092.json
R093,NORMAL_013,R093.json
R094,PERSIST_003,R094.json
R095,PERSIST_006,R095.json
R096,AUTH_016,R096.json
R097,SEC_002,R097.json
R098,PROC_006,R098.json
R099,PERSIST_017,R099.json
R100,PROC_015,R100.json
R101,SEC_011,R101.json
R102,PROC_017,R102.json
R103,NORMAL_007,R103.json
R104,AUTH_013,R104.json
R105,PERSIST_014,R105.json
R106,USB_010,R106.json
R107,NORMAL_011,R107.json
R108,PROC_013,R108.json
R109,AUTH_010,R109.json
R110,NET_001,R110.json
R111,USB_003,R111.json
R112,NET_011,R112.json
R113,NORMAL_016,R113.json
R114,NORMAL_006,R114.json
R115,PROC_001,R115.json
R116,NET_003,R116.json
R117,SEC_012,R117.json
R118,SEC_001,R118.json
R119,PROC_014,R119.json
R120,USB_006,R120.json
