model,condition,category,scenarios,classification_agreement_rate,risk_agreement_rate,mean_pairwise_indicator_jaccard,mean_pairwise_explanation_similarity,json_parse_validity_rate,required_fields_validity_rate,strict_schema_validity_rate,first_attempt_strict_schema_success_rate,indicator_vocabulary_compliance_rate,retry_rate,timeout_rate,empty_response_rate,classification_accuracy_across_repetitions,risk_accuracy_across_repetitions,mean_ground_truth_indicator_precision,mean_ground_truth_indicator_recall,mean_ground_truth_indicator_f1,mean_latency,latency_coefficient_of_variation,pct_scenarios_all_reps_classification_identical,pct_scenarios_all_reps_risk_identical
deepseek-r1:8b,baseline,AUTH,3,1.0,1.0,0.8222,0.9044,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6667,0.3333,0.0,0.0,0.0,5.348,0.0307,1.0,1.0
deepseek-r1:8b,baseline,NET,2,1.0,1.0,0.8,0.8251,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,5.459,0.0326,1.0,1.0
deepseek-r1:8b,baseline,NORMAL,4,1.0,1.0,0.85,0.85,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,6.3607,0.0983,1.0,1.0
deepseek-r1:8b,baseline,PERSIST,3,1.0,1.0,0.9111,0.7186,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3333,0.0,0.0,0.0,5.7393,0.0302,1.0,1.0
deepseek-r1:8b,baseline,PROC,3,1.0,1.0,0.9111,0.9043,1.0,1.0,0.6667,0.6667,0.0,0.0,0.0,0.0,0.6667,0.3333,0.0,0.0,0.0,5.4843,0.044,1.0,1.0
deepseek-r1:8b,baseline,SEC,3,1.0,1.0,0.8333,0.8055,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.3027,0.029,1.0,1.0
deepseek-r1:8b,baseline,USB,2,1.0,1.0,1.0,0.8733,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,6.0075,0.0244,1.0,1.0
gemma3:12b,baseline,AUTH,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6667,0.3333,0.0,0.0,0.0,10.5603,0.0337,1.0,1.0
gemma3:12b,baseline,NET,2,1.0,1.0,0.8,0.8096,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.05,0.0667,10.181,0.0238,1.0,1.0
gemma3:12b,baseline,NORMAL,4,1.0,1.0,1.0,0.7855,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,10.899,0.1207,1.0,1.0
gemma3:12b,baseline,PERSIST,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3333,0.0,0.0,0.0,10.4347,0.0153,1.0,1.0
gemma3:12b,baseline,PROC,3,1.0,1.0,0.9333,0.9524,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6667,0.6667,0.0,0.0,0.0,13.0033,0.041,1.0,1.0
gemma3:12b,baseline,SEC,3,1.0,1.0,1.0,0.9264,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3333,0.3333,0.1667,0.2222,10.1813,0.0458,1.0,1.0
gemma3:12b,baseline,USB,2,0.9,1.0,1.0,0.8134,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.5,0.0,0.0,0.0,10.18,0.0132,0.5,1.0
gpt-oss:20b,baseline,AUTH,3,1.0,1.0,0.7778,0.8925,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6667,0.6667,0.0,0.0,0.0,13.3137,0.0214,1.0,1.0
gpt-oss:20b,baseline,NET,2,1.0,0.9,1.0,0.8207,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.9,0.0,0.0,0.0,12.5115,0.0375,1.0,0.5
gpt-oss:20b,baseline,NORMAL,4,1.0,1.0,0.8666,0.8686,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,12.025,0.1701,1.0,1.0
gpt-oss:20b,baseline,PERSIST,3,1.0,1.0,0.6333,0.7149,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6667,0.0,0.0,0.0,11.2247,0.0338,1.0,1.0
gpt-oss:20b,baseline,PROC,3,1.0,0.8667,0.6667,0.775,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8667,0.0,0.0,0.0,11.8827,0.0621,1.0,0.3333
gpt-oss:20b,baseline,SEC,3,1.0,0.9333,0.7333,0.6811,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6,0.0667,0.0333,0.0444,11.474,0.0218,1.0,0.6667
gpt-oss:20b,baseline,USB,2,1.0,1.0,0.8,0.848,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,13.788,0.0167,1.0,1.0
llama3,baseline,AUTH,3,1.0,1.0,1.0,0.8801,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6667,0.3333,0.0,0.0,0.0,5.1397,0.0371,1.0,1.0
llama3,baseline,NET,2,1.0,1.0,0.6,0.87,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,4.7515,0.0335,1.0,1.0
llama3,baseline,NORMAL,4,1.0,1.0,0.8833,0.8426,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,5.0395,0.1234,1.0,1.0
llama3,baseline,PERSIST,3,1.0,1.0,1.0,0.8775,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3333,0.0,0.0,0.0,4.7877,0.0378,1.0,1.0
llama3,baseline,PROC,3,1.0,1.0,0.6444,0.7243,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6667,0.6667,0.0,0.0,0.0,5.2887,0.0451,1.0,1.0
llama3,baseline,SEC,3,1.0,1.0,0.7333,0.7832,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,5.0233,0.0373,1.0,1.0
llama3,baseline,USB,2,1.0,1.0,0.8,0.7942,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,4.8765,0.0232,1.0,1.0
