metric,model,mean_baseline,mean_rag,mean_difference,median_difference,bootstrap_95_ci_low,bootstrap_95_ci_high,scenarios_improved,scenarios_worsened,scenarios_unchanged,test_used,raw_p_value,holm_adjusted_p_value
classification_agreement_rate,deepseek-r1:8b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0
classification_agreement_rate,gemma3:12b,0.99,1.0,0.01,0.0,0.0,0.03,1,0,19,sign_test,1.0,1.0
classification_agreement_rate,gpt-oss:20b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0
classification_agreement_rate,llama3,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0
classification_agreement_rate,qwen3:8b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0
risk_agreement_rate,deepseek-r1:8b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0
risk_agreement_rate,gemma3:12b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0
risk_agreement_rate,gpt-oss:20b,0.96,0.95,-0.01,0.0,-0.1,0.06,4,2,14,sign_test,0.6875,1.0
risk_agreement_rate,llama3,1.0,0.99,-0.01,0.0,-0.03,0.0,0,1,19,sign_test,1.0,1.0
risk_agreement_rate,qwen3:8b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0
mean_pairwise_indicator_jaccard,deepseek-r1:8b,0.8717,0.9667,0.095,0.0,0.0033,0.1817,9,2,9,sign_test,0.06543,0.26172
mean_pairwise_indicator_jaccard,gemma3:12b,0.97,0.98,0.01,0.0,-0.04,0.0667,2,2,16,sign_test,1.0,1.0
mean_pairwise_indicator_jaccard,gpt-oss:20b,0.775,0.7817,0.0067,0.0,-0.1417,0.1417,8,5,7,sign_test,0.58105,1.0
mean_pairwise_indicator_jaccard,llama3,0.8233,0.9867,0.1633,0.1,0.0733,0.2533,10,1,9,sign_test,0.01172,0.05859
mean_pairwise_indicator_jaccard,qwen3:8b,0.9533,1.0,0.0467,0.0,0.01,0.09,4,0,16,sign_test,0.125,0.375
mean_pairwise_explanation_similarity,deepseek-r1:8b,0.8398,0.9586,0.1188,0.1526,0.0331,0.1941,15,2,3,sign_test,0.00235,0.01175
mean_pairwise_explanation_similarity,gemma3:12b,0.9012,0.9708,0.0696,0.0,0.0007,0.1391,8,4,8,sign_test,0.3877,1.0
mean_pairwise_explanation_similarity,gpt-oss:20b,0.8001,0.7234,-0.0767,-0.0835,-0.1533,-0.0039,7,12,1,sign_test,0.35928,1.0
mean_pairwise_explanation_similarity,llama3,0.8247,0.915,0.0903,0.1217,0.0138,0.1666,11,6,3,sign_test,0.33231,1.0
mean_pairwise_explanation_similarity,qwen3:8b,0.9695,0.9613,-0.0082,0.0,-0.0597,0.0412,4,5,11,sign_test,1.0,1.0
json_parse_validity_rate,deepseek-r1:8b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0
json_parse_validity_rate,gemma3:12b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0
json_parse_validity_rate,gpt-oss:20b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0
json_parse_validity_rate,llama3,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0
json_parse_validity_rate,qwen3:8b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0
required_fields_validity_rate,deepseek-r1:8b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0
required_fields_validity_rate,gemma3:12b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0
required_fields_validity_rate,gpt-oss:20b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0
required_fields_validity_rate,llama3,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0
required_fields_validity_rate,qwen3:8b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0
strict_schema_validity_rate,deepseek-r1:8b,0.95,0.6,-0.35,0.0,-0.55,-0.15,0,7,13,sign_test,0.01562,0.07812
strict_schema_validity_rate,gemma3:12b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0
strict_schema_validity_rate,gpt-oss:20b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0
strict_schema_validity_rate,llama3,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0
strict_schema_validity_rate,qwen3:8b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0
indicator_vocabulary_compliance_rate,deepseek-r1:8b,0.0,0.44,0.44,0.0,0.24,0.65,9,0,11,sign_test,0.00391,0.00391
indicator_vocabulary_compliance_rate,gemma3:12b,0.0,0.84,0.84,1.0,0.68,0.99,17,0,3,sign_test,2e-05,8e-05
indicator_vocabulary_compliance_rate,gpt-oss:20b,0.0,0.45,0.45,0.2,0.24,0.66,10,0,10,sign_test,0.00195,0.00391
indicator_vocabulary_compliance_rate,llama3,0.0,0.51,0.51,0.6,0.3,0.72,11,0,9,sign_test,0.00098,0.00293
indicator_vocabulary_compliance_rate,qwen3:8b,0.0,0.75,0.75,1.0,0.55,0.9,15,0,5,sign_test,6e-05,0.00024
classification_accuracy_across_repetitions,deepseek-r1:8b,0.75,0.55,-0.2,0.0,-0.4,-0.05,0,4,16,sign_test,0.125,0.625
classification_accuracy_across_repetitions,gemma3:12b,0.79,0.8,0.01,0.0,-0.14,0.16,2,1,17,sign_test,1.0,1.0
classification_accuracy_across_repetitions,gpt-oss:20b,0.8,0.9,0.1,0.0,-0.1,0.3,3,1,16,sign_test,0.625,1.0
classification_accuracy_across_repetitions,llama3,0.7,0.85,0.15,0.0,-0.05,0.35,4,1,15,sign_test,0.375,1.0
classification_accuracy_across_repetitions,qwen3:8b,0.85,0.8,-0.05,0.0,-0.15,0.0,0,1,19,sign_test,1.0,1.0
risk_accuracy_across_repetitions,deepseek-r1:8b,0.55,0.4,-0.15,0.0,-0.3,0.0,0,3,17,sign_test,0.25,1.0
risk_accuracy_across_repetitions,gemma3:12b,0.45,0.6,0.15,0.0,-0.05,0.35,4,1,15,sign_test,0.375,1.0
risk_accuracy_across_repetitions,gpt-oss:20b,0.71,0.65,-0.06,0.0,-0.34,0.23,5,7,8,sign_test,0.77441,1.0
risk_accuracy_across_repetitions,llama3,0.4,0.55,0.15,0.0,-0.15,0.45,7,4,9,sign_test,0.54883,1.0
risk_accuracy_across_repetitions,qwen3:8b,0.6,0.65,0.05,0.0,-0.1,0.2,2,1,17,sign_test,1.0,1.0
mean_ground_truth_indicator_precision,deepseek-r1:8b,0.0,0.13,0.13,0.0,0.0,0.28,3,0,17,sign_test,0.25,0.5
mean_ground_truth_indicator_precision,gemma3:12b,0.06,0.2,0.14,0.0,0.03,0.2733,7,1,12,sign_test,0.07031,0.21094
mean_ground_truth_indicator_precision,gpt-oss:20b,0.01,0.165,0.155,0.0,0.04,0.295,6,0,14,sign_test,0.03125,0.125
mean_ground_truth_indicator_precision,llama3,0.0,0.275,0.275,0.0,0.1083,0.475,7,0,13,sign_test,0.01562,0.07812
mean_ground_truth_indicator_precision,qwen3:8b,0.1,0.2,0.1,0.0,-0.025,0.25,3,1,16,sign_test,0.625,0.625
mean_ground_truth_indicator_recall,deepseek-r1:8b,0.0,0.075,0.075,0.0,0.0,0.15,3,0,17,sign_test,0.25,0.5
mean_ground_truth_indicator_recall,gemma3:12b,0.03,0.2417,0.2117,0.0,0.095,0.3417,8,0,12,sign_test,0.00781,0.03906
mean_ground_truth_indicator_recall,gpt-oss:20b,0.005,0.1333,0.1283,0.0,0.03,0.25,6,0,14,sign_test,0.03125,0.09375
mean_ground_truth_indicator_recall,llama3,0.0,0.2,0.2,0.0,0.075,0.325,7,0,13,sign_test,0.01562,0.0625
mean_ground_truth_indicator_recall,qwen3:8b,0.05,0.125,0.075,0.0,0.0,0.15,3,0,17,sign_test,0.25,0.5
