model,condition,scenario_id,ground_truth_class,classification_mode,classification_agreement_rate,classification_accuracy_across_repetitions,ground_truth_risk,risk_mode,risk_agreement_rate
deepseek-r1:8b,baseline,NORMAL_008,normal,normal,1.0,1.0,low,low,1.0
deepseek-r1:8b,baseline,NORMAL_014,normal,abnormal,1.0,0.0,low,high,1.0
deepseek-r1:8b,baseline,SEC_017,normal,normal,1.0,1.0,low,low,1.0
deepseek-r1:8b,baseline,PROC_005,abnormal,abnormal,1.0,1.0,medium,medium,1.0
deepseek-r1:8b,baseline,SEC_005,abnormal,abnormal,1.0,1.0,high,high,1.0
deepseek-r1:8b,baseline,AUTH_005,abnormal,abnormal,1.0,1.0,medium,high,1.0
deepseek-r1:8b,baseline,USB_007,abnormal,normal,1.0,0.0,medium,low,1.0
deepseek-r1:8b,baseline,NET_005,normal,abnormal,1.0,0.0,low,high,1.0
deepseek-r1:8b,baseline,AUTH_003,normal,abnormal,1.0,0.0,low,high,1.0
deepseek-r1:8b,baseline,SEC_010,abnormal,abnormal,1.0,1.0,high,high,1.0
deepseek-r1:8b,baseline,NET_012,abnormal,abnormal,1.0,1.0,high,high,1.0
deepseek-r1:8b,baseline,AUTH_009,abnormal,abnormal,1.0,1.0,high,high,1.0
deepseek-r1:8b,baseline,USB_017,normal,normal,1.0,1.0,low,low,1.0
deepseek-r1:8b,baseline,PROC_016,normal,INVALID_CLASSIFICATION,1.0,0.0,low,INVALID_RISK,1.0
deepseek-r1:8b,baseline,PERSIST_006,abnormal,abnormal,1.0,1.0,high,medium,1.0
deepseek-r1:8b,baseline,PROC_006,abnormal,abnormal,1.0,1.0,medium,high,1.0
deepseek-r1:8b,baseline,PERSIST_017,normal,normal,1.0,1.0,low,low,1.0
deepseek-r1:8b,baseline,PERSIST_014,abnormal,abnormal,1.0,1.0,critical,high,1.0
deepseek-r1:8b,baseline,NORMAL_016,normal,normal,1.0,1.0,low,low,1.0
deepseek-r1:8b,baseline,NORMAL_006,normal,normal,1.0,1.0,low,low,1.0
gemma3:12b,baseline,NORMAL_008,normal,normal,1.0,1.0,low,low,1.0
gemma3:12b,baseline,NORMAL_014,normal,abnormal,1.0,0.0,low,medium,1.0
gemma3:12b,baseline,SEC_017,normal,normal,1.0,1.0,low,low,1.0
gemma3:12b,baseline,PROC_005,abnormal,abnormal,1.0,1.0,medium,medium,1.0
gemma3:12b,baseline,SEC_005,abnormal,abnormal,1.0,1.0,high,medium,1.0
gemma3:12b,baseline,AUTH_005,abnormal,abnormal,1.0,1.0,medium,medium,1.0
gemma3:12b,baseline,USB_007,abnormal,abnormal,0.8,0.8,medium,low,1.0
gemma3:12b,baseline,NET_005,normal,abnormal,1.0,0.0,low,medium,1.0
gemma3:12b,baseline,AUTH_003,normal,abnormal,1.0,0.0,low,medium,1.0
gemma3:12b,baseline,SEC_010,abnormal,abnormal,1.0,1.0,high,medium,1.0
gemma3:12b,baseline,NET_012,abnormal,abnormal,1.0,1.0,high,medium,1.0
gemma3:12b,baseline,AUTH_009,abnormal,abnormal,1.0,1.0,high,medium,1.0
gemma3:12b,baseline,USB_017,normal,normal,1.0,1.0,low,low,1.0
gemma3:12b,baseline,PROC_016,normal,abnormal,1.0,0.0,low,medium,1.0
gemma3:12b,baseline,PERSIST_006,abnormal,abnormal,1.0,1.0,high,medium,1.0
gemma3:12b,baseline,PROC_006,abnormal,abnormal,1.0,1.0,medium,medium,1.0
gemma3:12b,baseline,PERSIST_017,normal,normal,1.0,1.0,low,low,1.0
gemma3:12b,baseline,PERSIST_014,abnormal,abnormal,1.0,1.0,critical,medium,1.0
gemma3:12b,baseline,NORMAL_016,normal,normal,1.0,1.0,low,low,1.0
gemma3:12b,baseline,NORMAL_006,normal,normal,1.0,1.0,low,low,1.0
gpt-oss:20b,baseline,NORMAL_008,normal,normal,1.0,1.0,low,low,1.0
gpt-oss:20b,baseline,NORMAL_014,normal,abnormal,1.0,0.0,low,medium,1.0
gpt-oss:20b,baseline,SEC_017,normal,normal,1.0,1.0,low,low,1.0
gpt-oss:20b,baseline,PROC_005,abnormal,abnormal,1.0,1.0,medium,medium,0.8
gpt-oss:20b,baseline,SEC_005,abnormal,abnormal,1.0,1.0,high,high,0.8
gpt-oss:20b,baseline,AUTH_005,abnormal,abnormal,1.0,1.0,medium,medium,1.0
gpt-oss:20b,baseline,USB_007,abnormal,normal,1.0,0.0,medium,low,1.0
gpt-oss:20b,baseline,NET_005,normal,abnormal,1.0,0.0,low,low,0.8
gpt-oss:20b,baseline,AUTH_003,normal,normal,1.0,1.0,low,low,1.0
gpt-oss:20b,baseline,SEC_010,abnormal,abnormal,1.0,1.0,high,medium,1.0
gpt-oss:20b,baseline,NET_012,abnormal,abnormal,1.0,1.0,high,high,1.0
gpt-oss:20b,baseline,AUTH_009,abnormal,normal,1.0,0.0,high,low,1.0
gpt-oss:20b,baseline,USB_017,normal,normal,1.0,1.0,low,low,1.0
gpt-oss:20b,baseline,PROC_016,normal,normal,1.0,1.0,low,low,1.0
gpt-oss:20b,baseline,PERSIST_006,abnormal,abnormal,1.0,1.0,high,high,1.0
gpt-oss:20b,baseline,PROC_006,abnormal,abnormal,1.0,1.0,medium,medium,0.8
gpt-oss:20b,baseline,PERSIST_017,normal,normal,1.0,1.0,low,low,1.0
gpt-oss:20b,baseline,PERSIST_014,abnormal,abnormal,1.0,1.0,critical,high,1.0
gpt-oss:20b,baseline,NORMAL_016,normal,normal,1.0,1.0,low,low,1.0
gpt-oss:20b,baseline,NORMAL_006,normal,normal,1.0,1.0,low,low,1.0
llama3,baseline,NORMAL_008,normal,abnormal,1.0,0.0,low,medium,1.0
llama3,baseline,NORMAL_014,normal,normal,1.0,1.0,low,low,1.0
llama3,baseline,SEC_017,normal,abnormal,1.0,0.0,low,medium,1.0
llama3,baseline,PROC_005,abnormal,abnormal,1.0,1.0,medium,medium,1.0
llama3,baseline,SEC_005,abnormal,abnormal,1.0,1.0,high,medium,1.0
llama3,baseline,AUTH_005,abnormal,abnormal,1.0,1.0,medium,medium,1.0
llama3,baseline,USB_007,abnormal,normal,1.0,0.0,medium,low,1.0
llama3,baseline,NET_005,normal,abnormal,1.0,0.0,low,medium,1.0
llama3,baseline,AUTH_003,normal,abnormal,1.0,0.0,low,medium,1.0
llama3,baseline,SEC_010,abnormal,abnormal,1.0,1.0,high,medium,1.0
llama3,baseline,NET_012,abnormal,abnormal,1.0,1.0,high,medium,1.0
llama3,baseline,AUTH_009,abnormal,abnormal,1.0,1.0,high,medium,1.0
llama3,baseline,USB_017,normal,normal,1.0,1.0,low,low,1.0
llama3,baseline,PROC_016,normal,abnormal,1.0,0.0,low,medium,1.0
llama3,baseline,PERSIST_006,abnormal,abnormal,1.0,1.0,high,medium,1.0
llama3,baseline,PROC_006,abnormal,abnormal,1.0,1.0,medium,medium,1.0
llama3,baseline,PERSIST_017,normal,normal,1.0,1.0,low,low,1.0
llama3,baseline,PERSIST_014,abnormal,abnormal,1.0,1.0,critical,medium,1.0
llama3,baseline,NORMAL_016,normal,normal,1.0,1.0,low,low,1.0
llama3,baseline,NORMAL_006,normal,normal,1.0,1.0,low,low,1.0
qwen3:8b,baseline,NORMAL_008,normal,normal,1.0,1.0,low,low,1.0
qwen3:8b,baseline,NORMAL_014,normal,normal,1.0,1.0,low,low,1.0
qwen3:8b,baseline,SEC_017,normal,normal,1.0,1.0,low,low,1.0
qwen3:8b,baseline,PROC_005,abnormal,abnormal,1.0,1.0,medium,medium,1.0
qwen3:8b,baseline,SEC_005,abnormal,abnormal,1.0,1.0,high,high,1.0
qwen3:8b,baseline,AUTH_005,abnormal,abnormal,1.0,1.0,medium,high,1.0
qwen3:8b,baseline,USB_007,abnormal,normal,1.0,0.0,medium,low,1.0
qwen3:8b,baseline,NET_005,normal,normal,1.0,1.0,low,low,1.0
qwen3:8b,baseline,AUTH_003,normal,abnormal,1.0,0.0,low,high,1.0
qwen3:8b,baseline,SEC_010,abnormal,abnormal,1.0,1.0,high,medium,1.0
qwen3:8b,baseline,NET_012,abnormal,abnormal,1.0,1.0,high,high,1.0
qwen3:8b,baseline,AUTH_009,abnormal,abnormal,1.0,1.0,high,medium,1.0
qwen3:8b,baseline,USB_017,normal,normal,1.0,1.0,low,low,1.0
qwen3:8b,baseline,PROC_016,normal,normal,1.0,1.0,low,low,1.0
qwen3:8b,baseline,PERSIST_006,abnormal,abnormal,1.0,1.0,high,medium,1.0
qwen3:8b,baseline,PROC_006,abnormal,normal,1.0,0.0,medium,low,1.0
qwen3:8b,baseline,PERSIST_017,normal,normal,1.0,1.0,low,low,1.0
qwen3:8b,baseline,PERSIST_014,abnormal,abnormal,1.0,1.0,critical,medium,1.0
qwen3:8b,baseline,NORMAL_016,normal,normal,1.0,1.0,low,low,1.0
qwen3:8b,baseline,NORMAL_006,normal,normal,1.0,1.0,low,low,1.0
deepseek-r1:8b,rag,NORMAL_008,normal,normal,1.0,1.0,low,low,1.0
