model,condition,scenario_id,json_parse_validity_rate,required_fields_validity_rate,classification_validity_rate,risk_level_validity_rate,indicator_list_validity_rate,strict_schema_validity_rate,first_attempt_strict_schema_success_rate,retry_rate,timeout_rate,empty_response_rate,indicator_vocabulary_compliance_rate
deepseek-r1:8b,baseline,NORMAL_008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,NORMAL_014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,SEC_017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,PROC_005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,SEC_005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,AUTH_005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,USB_007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,NET_005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,AUTH_003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,SEC_010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,NET_012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,AUTH_009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,USB_017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,PROC_016,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,PERSIST_006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,PROC_006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,PERSIST_017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
