selection_order,record_id,scenario_id,category,ground_truth_class,ground_truth_risk,scenario_source,selection_seed,selection_reason
1,R002,NORMAL_008,NORMAL,normal,low,collected,2026,normal fill
2,R005,NORMAL_014,NORMAL,normal,low,collected,2026,normal fill
3,R006,SEC_017,SEC,normal,low,collected,2026,normal category coverage: SEC
4,R011,PROC_005,PROC,abnormal,medium,collected,2026,abnormal risk coverage: medium
5,R018,SEC_005,SEC,abnormal,high,collected,2026,abnormal fill
6,R028,AUTH_005,AUTH,abnormal,medium,collected,2026,abnormal category coverage: AUTH
7,R029,USB_007,USB,abnormal,medium,collected,2026,abnormal category coverage: USB
8,R046,NET_005,NET,normal,low,collected,2026,normal category coverage: NET
9,R050,AUTH_003,AUTH,normal,low,collected,2026,normal category coverage: AUTH
10,R051,SEC_010,SEC,abnormal,high,collected,2026,abnormal category coverage: SEC
11,R060,NET_012,NET,abnormal,high,augmented,2026,abnormal category coverage: NET
12,R067,AUTH_009,AUTH,abnormal,high,collected,2026,abnormal risk coverage: high
13,R079,USB_017,USB,normal,low,collected,2026,normal category coverage: USB
14,R086,PROC_016,PROC,normal,low,collected,2026,normal category coverage: PROC
15,R095,PERSIST_006,PERSIST,abnormal,high,collected,2026,abnormal category coverage: PERSIST
16,R098,PROC_006,PROC,abnormal,medium,collected,2026,abnormal category coverage: PROC
17,R099,PERSIST_017,PERSIST,normal,low,collected,2026,normal category coverage: PERSIST
18,R105,PERSIST_014,PERSIST,abnormal,critical,augmented,2026,abnormal risk coverage: critical
19,R113,NORMAL_016,NORMAL,normal,low,collected,2026,normal fill
20,R114,NORMAL_006,NORMAL,normal,low,collected,2026,normal category coverage: NORMAL
