model,condition,category,scenarios,classification_agreement_rate,risk_agreement_rate,mean_pairwise_indicator_jaccard,mean_pairwise_explanation_similarity,json_parse_validity_rate,required_fields_validity_rate,strict_schema_validity_rate,first_attempt_strict_schema_success_rate,indicator_vocabulary_compliance_rate,retry_rate,timeout_rate,empty_response_rate,classification_accuracy_across_repetitions,risk_accuracy_across_repetitions,mean_ground_truth_indicator_precision,mean_ground_truth_indicator_recall,mean_ground_truth_indicator_f1,mean_latency,latency_coefficient_of_variation,pct_scenarios_all_reps_classification_identical,pct_scenarios_all_reps_risk_identical
deepseek-r1:8b,rag,AUTH,3,1.0,1.0,0.8667,0.908,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,5.594,0.049,1.0,1.0
deepseek-r1:8b,rag,NET,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.858,0.0289,1.0,1.0
deepseek-r1:8b,rag,NORMAL,4,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,5.1845,0.1322,1.0,1.0
deepseek-r1:8b,rag,PERSIST,3,1.0,1.0,1.0,0.9333,1.0,1.0,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0,4.874,0.053,1.0,1.0
deepseek-r1:8b,rag,PROC,3,1.0,1.0,0.9111,0.8824,1.0,1.0,0.3333,0.3333,0.2667,0.0,0.0,0.0,0.3333,0.0,0.2,0.1667,0.1778,4.8583,0.0717,1.0,1.0
deepseek-r1:8b,rag,SEC,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.6667,0.3333,0.4445,4.844,0.0531,1.0,1.0
deepseek-r1:8b,rag,USB,2,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,5.008,0.0449,1.0,1.0
gemma3:12b,rag,AUTH,3,1.0,1.0,0.9111,0.9111,1.0,1.0,1.0,1.0,0.6,0.0,0.0,0.0,0.6667,0.3333,0.1667,0.3333,0.2222,11.5443,0.0894,1.0,1.0
gemma3:12b,rag,NET,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.4166,0.5,0.45,11.007,0.0945,1.0,1.0
gemma3:12b,rag,NORMAL,4,1.0,1.0,1.0,0.9875,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,11.5615,0.1711,1.0,1.0
gemma3:12b,rag,PERSIST,3,1.0,1.0,1.0,0.9278,1.0,1.0,1.0,1.0,0.3333,0.0,0.0,0.0,1.0,0.3333,0.0,0.0,0.0,10.7663,0.1059,1.0,1.0
gemma3:12b,rag,PROC,3,1.0,1.0,0.9556,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6667,0.6667,0.1667,0.3333,0.2167,11.2907,0.1018,1.0,1.0
gemma3:12b,rag,SEC,3,1.0,1.0,1.0,0.9833,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5556,0.5,0.4889,10.7233,0.1109,1.0,1.0
gemma3:12b,rag,USB,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.25,0.1666,0.2,10.938,0.1005,1.0,1.0
gpt-oss:20b,rag,AUTH,3,1.0,0.8667,0.9111,0.6649,1.0,1.0,1.0,1.0,0.6,0.0,0.0,0.0,0.6667,0.2,0.3,0.4667,0.3556,16.9807,0.1483,1.0,0.6667
gpt-oss:20b,rag,NET,2,1.0,1.0,0.4334,0.7338,1.0,1.0,1.0,1.0,0.2,0.0,0.0,0.0,0.5,0.0,0.1,0.1,0.1,21.3835,0.074,1.0,1.0
gpt-oss:20b,rag,NORMAL,4,1.0,1.0,0.8666,0.8726,1.0,1.0,1.0,1.0,0.7,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,13.0367,0.2408,1.0,1.0
