record_id,scenario_id,input_file,category,ground_truth_class,seed
R006,SEC_017,R006.json,SEC,normal,2026
R009,NET_015,R009.json,NET,normal,2026
R012,SEC_003,R012.json,SEC,normal,2026
R014,PERSIST_004,R014.json,PERSIST,normal,2026
R027,SEC_008,R027.json,SEC,abnormal,2026
R031,AUTH_017,R031.json,AUTH,normal,2026
R034,NET_014,R034.json,NET,abnormal,2026
R036,USB_005,R036.json,USB,abnormal,2026
R041,NET_008,R041.json,NET,abnormal,2026
R045,NET_002,R045.json,NET,normal,2026
R067,AUTH_009,R067.json,AUTH,abnormal,2026
R079,USB_017,R079.json,USB,normal,2026
R084,USB_008,R084.json,USB,abnormal,2026
R085,PROC_009,R085.json,PROC,abnormal,2026
R086,PROC_016,R086.json,PROC,normal,2026
R091,PROC_011,R091.json,PROC,abnormal,2026
R094,PERSIST_003,R094.json,PERSIST,normal,2026
R095,PERSIST_006,R095.json,PERSIST,abnormal,2026
R105,PERSIST_014,R105.json,PERSIST,abnormal,2026
R114,NORMAL_006,R114.json,NORMAL,normal,2026
