category,path,repository_sha256,canonical_text_sha256,original_windows_crlf_sha256,size_bytes,line_count,newline_style
frozen_dataset_core,Dataset/llm_inputs_120.jsonl,11f924b08bd91451090b1f8130a9b75975fcd95faae91c50b96c721c51d37178,11f924b08bd91451090b1f8130a9b75975fcd95faae91c50b96c721c51d37178,11f924b08bd91451090b1f8130a9b75975fcd95faae91c50b96c721c51d37178,230331,120,LF
frozen_dataset_core,Dataset/runner_mapping.csv,53bd0dc0b3c8c853a1c57c2a731e8b127f3d32dca589cd9aae91c407e144c553,53bd0dc0b3c8c853a1c57c2a731e8b127f3d32dca589cd9aae91c407e144c553,7ae88c8585382f86c5eedae5f42d7fb92e897d8f68def6ca3fc0a03338f2367f,3070,121,CRLF
frozen_dataset_core,Dataset/schema_definition.json,1b1fbd1630bb32dfbe39974a09f4df12f40efafaa7607af6cd2219f382c2ce26,1b1fbd1630bb32dfbe39974a09f4df12f40efafaa7607af6cd2219f382c2ce26,1b1fbd1630bb32dfbe39974a09f4df12f40efafaa7607af6cd2219f382c2ce26,2276,78,LF
frozen_dataset_core,Dataset/provenance_report.csv,9efe02ad3551921763f4b0e3d6c42533c35f86365a7bcdcb2867e94a7fd76657,9efe02ad3551921763f4b0e3d6c42533c35f86365a7bcdcb2867e94a7fd76657,95b8ef104a41b0cff1549a41215d6e4eb106eb344fc6232ee8acfbbb4023e737,3922,121,CRLF
frozen_dataset_core,Dataset/manual_evidence_audit.csv,0fdb989595639cd2e42cc68f8c66d41034321d79ac47351c4fa70bc767028161,0fdb989595639cd2e42cc68f8c66d41034321d79ac47351c4fa70bc767028161,a2be2f5e53280fce575176caf4a92c6d89a78f0e3490fec30393981a5ccd1cc8,4850,18,CRLF
frozen_dataset_core,Dataset/validation_report.json,3100bc4ad80295ff1f6cd636c9b4d7eec08a3ed01e357cd1c33d440fce124743,3100bc4ad80295ff1f6cd636c9b4d7eec08a3ed01e357cd1c33d440fce124743,3100bc4ad80295ff1f6cd636c9b4d7eec08a3ed01e357cd1c33d440fce124743,738,25,LF
frozen_dataset_core,Dataset/validation_report.txt,840eb49fa21f83df11e6d787240353cc1bd5263345eef263aa6e2d574aec1b20,840eb49fa21f83df11e6d787240353cc1bd5263345eef263aa6e2d574aec1b20,840eb49fa21f83df11e6d787240353cc1bd5263345eef263aa6e2d574aec1b20,1633,43,LF
ground_truth_final,Dataset/ground_truth_FINAL.csv,36437340cf3dffced4f415fc325034fcf1262a8b8150ae4ab31033a4d8ff1d27,36437340cf3dffced4f415fc325034fcf1262a8b8150ae4ab31033a4d8ff1d27,b52bcb56acdeee7bed9409ec75a7aacf2087e1d41ba63aa8ca065ca9d4033f7e,33331,121,CRLF
primary_neutral_input,Dataset/llm_inputs/R001.json,024c76c623f2c178e72aa9c193c4a1115f8707bba339e1d25e48360adde7cf7e,024c76c623f2c178e72aa9c193c4a1115f8707bba339e1d25e48360adde7cf7e,024c76c623f2c178e72aa9c193c4a1115f8707bba339e1d25e48360adde7cf7e,2091,77,LF
primary_neutral_input,Dataset/llm_inputs/R002.json,c79be7848d25d6759acf773b1a35d701198764f0cef364413fa35b10ccc8729b,c79be7848d25d6759acf773b1a35d701198764f0cef364413fa35b10ccc8729b,c79be7848d25d6759acf773b1a35d701198764f0cef364413fa35b10ccc8729b,2055,76,LF
