controlled_indicator,represented_in_kb,document_ids,categories,coverage_status
normal_app_activity,True,NORMAL_001,NORMAL,complete
browser_activity,True,NORMAL_003,NORMAL,complete
document_activity,True,NORMAL_001|NORMAL_002,NORMAL,complete
communication_app_activity,True,NORMAL_001,NORMAL,complete
file_browsing,True,NORMAL_002,NORMAL,complete
development_activity,True,NORMAL_001|PROC_001,NORMAL|PROC,complete
settings_viewed,True,NET_003|NORMAL_004|SEC_001,NET|NORMAL|SEC,complete
media_viewing,True,NORMAL_001|NORMAL_002,NORMAL,complete
successful_login,True,AUTH_001|AUTH_002|AUTH_003,AUTH,complete
screen_lock_activity,True,AUTH_001,AUTH,complete
failed_login,True,AUTH_002,AUTH,complete
repeated_failed_logins,True,AUTH_003|AUTH_004|AUTH_005|NET_005,AUTH|NET,complete
high_failed_login_count,True,AUTH_004|AUTH_005|NET_005,AUTH|NET,complete
rapid_activity_window,True,AUTH_003|AUTH_004|AUTH_005,AUTH,complete
private_network,True,NET_001|NORMAL_003,NET|NORMAL,complete
public_network,True,AUTH_003|AUTH_004|AUTH_005|NET_002|NET_005|NORMAL_003,AUTH|NET|NORMAL,complete
normal_network_activity,True,NET_001|NET_002|NORMAL_003,NET|NORMAL,complete
network_profile_viewed,True,NET_003,NET,complete
network_profile_unchanged,True,NET_003,NET,complete
file_download,True,PROC_003,PROC,complete
authorised_usb,True,USB_001|USB_003,USB,complete
unknown_usb,True,USB_002|USB_003|USB_004|USB_005,USB,complete
usb_connected,True,USB_001|USB_002,USB,complete
usb_files_viewed,True,USB_001|USB_002,USB,complete
usb_file_copied,True,USB_001|USB_003,USB,complete
usb_script_or_executable_present,True,USB_002|USB_003|USB_004,USB,complete
usb_script_or_executable_accessed,True,USB_004|USB_005,USB,complete
multiple_usb_connections,True,USB_002,USB,complete
usb_archive_accessed,True,USB_003,USB,complete
defender_enabled,True,SEC_001|SEC_002,SEC,complete
defender_disabled,True,AUTH_005|NET_005|PERSIST_005|PROC_005|SEC_003|SEC_004|SEC_005|USB_005,AUTH|NET|PERSIST|PROC|SEC|USB,complete
defender_configuration_changed,True,SEC_002|SEC_003|SEC_005,SEC,complete
security_setting_restored,True,SEC_002|SEC_005,SEC,complete
firewall_configuration_changed,True,SEC_004|SEC_005,SEC,complete
security_history_viewed,True,SEC_001,SEC,complete
powershell_activity,True,PROC_001|PROC_003|PROC_004|PROC_005,PROC,complete
cmd_activity,True,PROC_001,PROC,complete
terminal_activity,True,PROC_001|PROC_002|PROC_003|PROC_004,PROC,complete
basic_command_use,True,PROC_001|PROC_002,PROC,complete
process_enumeration,True,PROC_002,PROC,complete
network_configuration_query,True,PROC_002,PROC,complete
script_execution,True,PERSIST_005|PROC_003|PROC_004|PROC_005|USB_004|USB_005,PERSIST|PROC|USB,complete
suspicious_command_pattern,True,PROC_003|PROC_004|PROC_005|USB_005,PROC|USB,complete
network_scanner_activity,True,NET_004,NET,complete
network_scan,True,AUTH_005|NET_004|NET_005,AUTH|NET,complete
authorised_local_target,True,NET_004|NET_005,NET,complete
executable_execution,True,USB_004|USB_005,USB,complete
unknown_executable,True,USB_004,USB,complete
task_scheduler_viewed,True,PERSIST_001|PERSIST_002,PERSIST,complete
scheduled_task_created,True,PERSIST_002|PERSIST_005|PROC_005,PERSIST|PROC,complete
scheduled_task_modified,True,PERSIST_002,PERSIST,complete
scheduled_task_deleted,True,PERSIST_003,PERSIST,complete
services_viewed,True,PERSIST_001,PERSIST,complete
service_configuration_changed,True,PERSIST_005,PERSIST,complete
startup_items_viewed,True,PERSIST_001|PERSIST_004,PERSIST,complete
startup_item_added,True,PERSIST_004|PERSIST_005,PERSIST,complete
startup_item_removed,True,PERSIST_004,PERSIST,complete
cleanup_activity,True,NORMAL_004|PERSIST_003|PERSIST_004,NORMAL|PERSIST,complete
no_security_change,True,NORMAL_004|SEC_001,NORMAL|SEC,complete
no_file_execution,True,NORMAL_002|USB_001|USB_002|USB_003,NORMAL|USB,complete
no_persistence_change,True,NORMAL_004|PERSIST_001|PERSIST_003,NORMAL|PERSIST,complete
no_additional_risky_activity,True,AUTH_001|AUTH_002|NET_001|NET_002|NET_003|NET_004|NORMAL_001|NORMAL_002|NORMAL_003|NORMAL_004|PERSIST_001|PERSIST_003|PROC_001|PROC_002|SEC_002|SEC_004,AUTH|NET|NORMAL|PERSIST|PROC|SEC,complete
