document_id,original_indicator,canonical_indicator,action
NORMAL_001,normal_app_activity,normal_app_activity,kept
NORMAL_001,document_activity,document_activity,kept
NORMAL_001,communication_app_activity,communication_app_activity,kept
NORMAL_001,development_activity,development_activity,kept
NORMAL_001,media_viewing,media_viewing,kept
NORMAL_001,no_additional_risky_activity,no_additional_risky_activity,kept
NORMAL_002,document_activity,document_activity,kept
NORMAL_002,file_browsing,file_browsing,kept
NORMAL_002,media_viewing,media_viewing,kept
NORMAL_002,no_file_execution,no_file_execution,kept
NORMAL_002,no_additional_risky_activity,no_additional_risky_activity,kept
NORMAL_003,browser_activity,browser_activity,kept
NORMAL_003,normal_network_activity,normal_network_activity,kept
NORMAL_003,private_network,private_network,kept
NORMAL_003,public_network,public_network,kept
NORMAL_003,no_additional_risky_activity,no_additional_risky_activity,kept
NORMAL_004,settings_viewed,settings_viewed,kept
NORMAL_004,cleanup_activity,cleanup_activity,kept
NORMAL_004,no_security_change,no_security_change,kept
NORMAL_004,no_persistence_change,no_persistence_change,kept
NORMAL_004,no_additional_risky_activity,no_additional_risky_activity,kept
AUTH_001,successful_login,successful_login,kept
AUTH_001,screen_lock_activity,screen_lock_activity,kept
AUTH_001,no_additional_risky_activity,no_additional_risky_activity,kept
AUTH_002,failed_login,failed_login,kept
AUTH_002,successful_login,successful_login,kept
AUTH_002,no_additional_risky_activity,no_additional_risky_activity,kept
AUTH_003,repeated_failed_logins,repeated_failed_logins,kept
AUTH_003,rapid_activity_window,rapid_activity_window,kept
AUTH_003,public_network,public_network,kept
AUTH_003,successful_login,successful_login,kept
AUTH_004,high_failed_login_count,high_failed_login_count,kept
AUTH_004,repeated_failed_logins,repeated_failed_logins,kept
AUTH_004,rapid_activity_window,rapid_activity_window,kept
AUTH_004,public_network,public_network,kept
AUTH_005,repeated_failed_logins,repeated_failed_logins,kept
AUTH_005,high_failed_login_count,high_failed_login_count,kept
AUTH_005,public_network,public_network,kept
AUTH_005,network_scan,network_scan,kept
AUTH_005,defender_disabled,defender_disabled,kept
AUTH_005,rapid_activity_window,rapid_activity_window,kept
USB_001,authorised_usb,authorised_usb,kept
USB_001,usb_connected,usb_connected,kept
USB_001,usb_files_viewed,usb_files_viewed,kept
USB_001,usb_file_copied,usb_file_copied,kept
USB_001,no_file_execution,no_file_execution,kept
USB_002,unknown_usb,unknown_usb,kept
USB_002,usb_connected,usb_connected,kept
USB_002,usb_files_viewed,usb_files_viewed,kept
USB_002,usb_script_or_executable_present,usb_script_or_executable_present,kept
USB_002,no_file_execution,no_file_execution,kept
USB_002,multiple_usb_connections,multiple_usb_connections,kept
USB_003,usb_archive_accessed,usb_archive_accessed,kept
USB_003,usb_file_copied,usb_file_copied,kept
USB_003,usb_script_or_executable_present,usb_script_or_executable_present,kept
USB_003,authorised_usb,authorised_usb,kept
USB_003,unknown_usb,unknown_usb,kept
USB_003,no_file_execution,no_file_execution,kept
USB_004,usb_script_or_executable_accessed,usb_script_or_executable_accessed,kept
USB_004,usb_script_or_executable_present,usb_script_or_executable_present,kept
USB_004,executable_execution,executable_execution,kept
USB_004,script_execution,script_execution,kept
USB_004,unknown_usb,unknown_usb,kept
USB_004,unknown_executable,unknown_executable,kept
USB_005,unknown_usb,unknown_usb,kept
USB_005,usb_script_or_executable_accessed,usb_script_or_executable_accessed,kept
USB_005,defender_disabled,defender_disabled,kept
USB_005,suspicious_command_pattern,suspicious_command_pattern,kept
USB_005,script_execution,script_execution,kept
USB_005,executable_execution,executable_execution,kept
SEC_001,security_history_viewed,security_history_viewed,kept
SEC_001,settings_viewed,settings_viewed,kept
SEC_001,defender_enabled,defender_enabled,kept
SEC_001,no_security_change,no_security_change,kept
SEC_002,defender_configuration_changed,defender_configuration_changed,kept
SEC_002,security_setting_restored,security_setting_restored,kept
SEC_002,defender_enabled,defender_enabled,kept
SEC_002,no_additional_risky_activity,no_additional_risky_activity,kept
SEC_003,defender_disabled,defender_disabled,kept
SEC_003,defender_configuration_changed,defender_configuration_changed,kept
SEC_004,firewall_configuration_changed,firewall_configuration_changed,kept
SEC_004,defender_disabled,defender_disabled,kept
SEC_004,no_additional_risky_activity,no_additional_risky_activity,kept
SEC_005,defender_disabled,defender_disabled,kept
SEC_005,defender_configuration_changed,defender_configuration_changed,kept
SEC_005,firewall_configuration_changed,firewall_configuration_changed,kept
SEC_005,security_setting_restored,security_setting_restored,kept
PROC_001,powershell_activity,powershell_activity,kept
PROC_001,cmd_activity,cmd_activity,kept
PROC_001,terminal_activity,terminal_activity,kept
PROC_001,basic_command_use,basic_command_use,kept
PROC_001,development_activity,development_activity,kept
PROC_001,no_additional_risky_activity,no_additional_risky_activity,kept
PROC_002,process_enumeration,process_enumeration,kept
PROC_002,network_configuration_query,network_configuration_query,kept
PROC_002,basic_command_use,basic_command_use,kept
PROC_002,terminal_activity,terminal_activity,kept
PROC_002,no_additional_risky_activity,no_additional_risky_activity,kept
PROC_003,script_execution,script_execution,kept
PROC_003,powershell_activity,powershell_activity,kept
PROC_003,terminal_activity,terminal_activity,kept
PROC_003,suspicious_command_pattern,suspicious_command_pattern,kept
PROC_003,file_download,file_download,kept
PROC_004,suspicious_command_pattern,suspicious_command_pattern,kept
PROC_004,powershell_activity,powershell_activity,kept
PROC_004,script_execution,script_execution,kept
PROC_004,terminal_activity,terminal_activity,kept
PROC_005,script_execution,script_execution,kept
PROC_005,suspicious_command_pattern,suspicious_command_pattern,kept
PROC_005,powershell_activity,powershell_activity,kept
PROC_005,defender_disabled,defender_disabled,kept
PROC_005,scheduled_task_created,scheduled_task_created,kept
NET_001,private_network,private_network,kept
NET_001,normal_network_activity,normal_network_activity,kept
NET_001,no_additional_risky_activity,no_additional_risky_activity,kept
NET_002,public_network,public_network,kept
NET_002,normal_network_activity,normal_network_activity,kept
NET_002,no_additional_risky_activity,no_additional_risky_activity,kept
NET_003,network_profile_viewed,network_profile_viewed,kept
NET_003,network_profile_unchanged,network_profile_unchanged,kept
NET_003,settings_viewed,settings_viewed,kept
NET_003,no_additional_risky_activity,no_additional_risky_activity,kept
NET_004,network_scanner_activity,network_scanner_activity,kept
NET_004,network_scan,network_scan,kept
NET_004,authorised_local_target,authorised_local_target,kept
NET_004,no_additional_risky_activity,no_additional_risky_activity,kept
NET_005,network_scan,network_scan,kept
NET_005,authorised_local_target,authorised_local_target,kept
NET_005,public_network,public_network,kept
NET_005,repeated_failed_logins,repeated_failed_logins,kept
NET_005,high_failed_login_count,high_failed_login_count,kept
NET_005,defender_disabled,defender_disabled,kept
PERSIST_001,task_scheduler_viewed,task_scheduler_viewed,kept
PERSIST_001,services_viewed,services_viewed,kept
PERSIST_001,startup_items_viewed,startup_items_viewed,kept
PERSIST_001,no_persistence_change,no_persistence_change,kept
PERSIST_001,no_additional_risky_activity,no_additional_risky_activity,kept
PERSIST_002,scheduled_task_created,scheduled_task_created,kept
PERSIST_002,scheduled_task_modified,scheduled_task_modified,kept
PERSIST_002,task_scheduler_viewed,task_scheduler_viewed,kept
PERSIST_003,scheduled_task_deleted,scheduled_task_deleted,kept
PERSIST_003,cleanup_activity,cleanup_activity,kept
PERSIST_003,no_persistence_change,no_persistence_change,kept
PERSIST_003,no_additional_risky_activity,no_additional_risky_activity,kept
PERSIST_004,startup_item_added,startup_item_added,kept
PERSIST_004,startup_item_removed,startup_item_removed,kept
PERSIST_004,startup_items_viewed,startup_items_viewed,kept
PERSIST_004,cleanup_activity,cleanup_activity,kept
PERSIST_005,service_configuration_changed,service_configuration_changed,kept
PERSIST_005,scheduled_task_created,scheduled_task_created,kept
PERSIST_005,startup_item_added,startup_item_added,kept
PERSIST_005,defender_disabled,defender_disabled,kept
PERSIST_005,script_execution,script_execution,kept
