model,condition,ground_truth_normal,ground_truth_abnormal,TP,TN,valid_FP,valid_FN,invalid_normal,invalid_abnormal,missing_normal,missing_abnormal,fallback_normal,fallback_abnormal
llama3,baseline,62,58,49,42,20,9,0,0,0,0,0,0
llama3,rag,62,58,56,49,13,2,0,0,0,0,0,0
deepseek-r1_8b,baseline,62,58,51,51,10,7,1,0,0,0,0,0
deepseek-r1_8b,rag,62,58,29,46,2,5,14,24,0,0,0,0
gemma3_12b,baseline,62,58,58,42,20,0,0,0,0,0,0,0
gemma3_12b,rag,62,58,52,54,8,6,0,0,0,0,0,0
qwen3_8b,baseline,62,58,44,58,4,14,0,0,0,0,0,0
qwen3_8b,rag,62,58,41,59,3,17,0,0,0,0,0,0
gpt-oss_20b,baseline,62,58,41,57,5,17,0,0,0,0,0,0
gpt-oss_20b,rag,62,58,47,54,8,11,0,0,0,0,0,0
