model,category,baseline_acc,rag_acc,delta,n
deepseek-r1_8b,NORMAL,0.833,0.833,0.000,18
deepseek-r1_8b,AUTH,0.765,0.529,-0.235,17
deepseek-r1_8b,USB,0.824,0.353,-0.471,17
deepseek-r1_8b,SEC,0.941,0.706,-0.235,17
deepseek-r1_8b,PROC,0.941,0.706,-0.235,17
deepseek-r1_8b,NET,0.765,0.588,-0.176,17
deepseek-r1_8b,PERSIST,0.882,0.647,-0.235,17
gemma3_12b,NORMAL,0.833,0.889,0.056,18
gemma3_12b,AUTH,0.765,0.706,-0.059,17
gemma3_12b,USB,1.000,0.882,-0.118,17
gemma3_12b,SEC,0.824,0.941,0.118,17
gemma3_12b,PROC,0.706,0.882,0.176,17
gemma3_12b,NET,0.882,0.882,0.000,17
gemma3_12b,PERSIST,0.824,1.000,0.176,17
gpt-oss_20b,NORMAL,0.889,0.833,-0.056,18
gpt-oss_20b,AUTH,0.765,0.706,-0.059,17
gpt-oss_20b,USB,0.765,0.882,0.118,17
gpt-oss_20b,SEC,0.882,0.941,0.059,17
gpt-oss_20b,PROC,0.824,0.824,0.000,17
gpt-oss_20b,NET,0.706,0.765,0.059,17
gpt-oss_20b,PERSIST,0.882,0.941,0.059,17
llama3,NORMAL,0.833,0.833,0.000,18
llama3,AUTH,0.588,0.765,0.176,17
llama3,USB,0.647,0.824,0.176,17
llama3,SEC,0.824,0.941,0.118,17
llama3,PROC,0.706,1.000,0.294,17
llama3,NET,0.824,0.824,0.000,17
llama3,PERSIST,0.882,0.941,0.059,17
qwen3_8b,NORMAL,1.000,1.000,0.000,18
qwen3_8b,AUTH,0.765,0.765,0.000,17
qwen3_8b,USB,0.824,0.706,-0.118,17
qwen3_8b,SEC,0.882,1.000,0.118,17
qwen3_8b,PROC,0.706,0.647,-0.059,17
qwen3_8b,NET,0.882,0.824,-0.059,17
qwen3_8b,PERSIST,0.882,0.882,0.000,17
