model,category,n,accuracy,precision,recall,f1,TP,FP,TN,FN
llama3,NORMAL,18,0.8333,0.0,0.0,0.0,0,3,15,0
llama3,AUTH,17,0.5882,0.6667,0.6,0.6316,6,3,4,4
llama3,USB,17,0.6471,0.7,0.7,0.7,7,3,4,3
llama3,SEC,17,0.8235,0.8889,0.8,0.8421,8,1,6,2
llama3,PROC,17,0.7059,0.6667,1.0,0.8,10,5,2,0
llama3,NET,17,0.8235,0.75,1.0,0.8571,9,3,5,0
llama3,PERSIST,17,0.8824,0.8182,1.0,0.9,9,2,6,0
deepseek-r1:8b,NORMAL,18,0.8333,0.0,0.0,0.0,0,3,15,0
deepseek-r1:8b,AUTH,17,0.7647,0.7143,1.0,0.8333,10,4,3,0
deepseek-r1:8b,USB,17,0.8235,1.0,0.7,0.8235,7,0,7,3
deepseek-r1:8b,SEC,17,0.9412,0.9091,1.0,0.9524,10,1,6,0
deepseek-r1:8b,PROC,16,1.0,1.0,1.0,1.0,10,0,6,0
deepseek-r1:8b,NET,17,0.7647,0.7778,0.7778,0.7778,7,2,6,2
deepseek-r1:8b,PERSIST,17,0.8824,1.0,0.7778,0.875,7,0,8,2
gemma3:12b,NORMAL,18,0.8333,0.0,0.0,0.0,0,3,15,0
gemma3:12b,AUTH,17,0.7647,0.7143,1.0,0.8333,10,4,3,0
gemma3:12b,USB,17,1.0,1.0,1.0,1.0,10,0,7,0
gemma3:12b,SEC,17,0.8235,0.7692,1.0,0.8696,10,3,4,0
gemma3:12b,PROC,17,0.7059,0.6667,1.0,0.8,10,5,2,0
gemma3:12b,NET,17,0.8824,0.8182,1.0,0.9,9,2,6,0
gemma3:12b,PERSIST,17,0.8235,0.75,1.0,0.8571,9,3,5,0
qwen3:8b,NORMAL,18,1.0,0.0,0.0,0.0,0,0,18,0
qwen3:8b,AUTH,17,0.7647,0.7143,1.0,0.8333,10,4,3,0
qwen3:8b,USB,17,0.8235,1.0,0.7,0.8235,7,0,7,3
qwen3:8b,SEC,17,0.8824,1.0,0.8,0.8889,8,0,7,2
qwen3:8b,PROC,17,0.7059,1.0,0.5,0.6667,5,0,7,5
qwen3:8b,NET,17,0.8824,1.0,0.7778,0.875,7,0,8,2
qwen3:8b,PERSIST,17,0.8824,1.0,0.7778,0.875,7,0,8,2
gpt-oss:20b,NORMAL,18,0.8889,0.0,0.0,0.0,0,2,16,0
gpt-oss:20b,AUTH,17,0.7647,0.875,0.7,0.7778,7,1,6,3
gpt-oss:20b,USB,17,0.7647,1.0,0.6,0.75,6,0,7,4
gpt-oss:20b,SEC,17,0.8824,0.9,0.9,0.9,9,1,6,1
gpt-oss:20b,PROC,17,0.8235,1.0,0.7,0.8235,7,0,7,3
gpt-oss:20b,NET,17,0.7059,0.8333,0.5556,0.6667,5,1,7,4
gpt-oss:20b,PERSIST,17,0.8824,1.0,0.7778,0.875,7,0,8,2
