model,condition,n,acc_all120,acc_all120_ci_low,acc_all120_ci_high,acc_valid_only,precision,recall,f1,risk_accuracy,cohens_kappa,indicator_overlap,mean_latency_s,TP,TN,FP,FN,invalid
deepseek-r1_8b,baseline,120,0.850,0.775,0.903,0.857,0.836,0.879,0.857,0.583,0.714,0.079,6.036,51,51,10,7,1
deepseek-r1_8b,rag,120,0.625,0.536,0.706,0.915,0.935,0.853,0.892,0.508,0.822,0.143,5.517,29,46,2,5,38
gemma3_12b,baseline,120,0.833,0.757,0.889,0.833,0.744,1.000,0.853,0.525,0.670,0.104,11.050,58,42,20,0,0
gemma3_12b,rag,120,0.883,0.814,0.929,0.883,0.867,0.897,0.881,0.633,0.767,0.354,13.618,52,54,8,6,0
gpt-oss_20b,baseline,120,0.817,0.738,0.876,0.817,0.891,0.707,0.788,0.608,0.630,0.040,12.147,41,57,5,17,0
gpt-oss_20b,rag,120,0.842,0.766,0.896,0.842,0.855,0.810,0.832,0.633,0.682,0.249,17.280,47,54,8,11,0
llama3,baseline,120,0.758,0.674,0.826,0.758,0.710,0.845,0.772,0.442,0.519,0.032,5.135,49,42,20,9,0
llama3,rag,120,0.875,0.804,0.923,0.875,0.812,0.966,0.882,0.583,0.751,0.301,5.535,56,49,13,2,0
qwen3_8b,baseline,120,0.850,0.775,0.903,0.850,0.917,0.759,0.830,0.575,0.698,0.117,4.827,44,58,4,14,0
qwen3_8b,rag,120,0.833,0.757,0.889,0.833,0.932,0.707,0.804,0.667,0.664,0.258,5.200,41,59,3,17,0
