metric,model,mean_baseline,mean_rag,mean_difference,median_difference,bootstrap_95_ci_low,bootstrap_95_ci_high,scenarios_improved,scenarios_worsened,scenarios_unchanged,test_used,raw_p_value,holm_adjusted_p_value,raw_p_value_display,holm_adjusted_p_value_display
classification_agreement_rate,deepseek-r1:8b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0,1.000,1.000
classification_agreement_rate,gemma3:12b,0.99,1.0,0.01,0.0,0.0,0.03,1,0,19,wilcoxon,0.31731,1.0,0.317,1.000
classification_agreement_rate,gpt-oss:20b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0,1.000,1.000
classification_agreement_rate,llama3,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0,1.000,1.000
classification_agreement_rate,qwen3:8b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0,1.000,1.000
risk_agreement_rate,deepseek-r1:8b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0,1.000,1.000
risk_agreement_rate,gemma3:12b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0,1.000,1.000
risk_agreement_rate,gpt-oss:20b,0.96,0.95,-0.01,0.0,-0.1,0.06,4,2,14,wilcoxon,0.91413,1.0,0.914,1.000
risk_agreement_rate,llama3,1.0,0.99,-0.01,0.0,-0.03,0.0,0,1,19,wilcoxon,0.31731,1.0,0.317,1.000
risk_agreement_rate,qwen3:8b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0,1.000,1.000
mean_pairwise_indicator_jaccard,deepseek-r1:8b,0.8717,0.9667,0.095,0.0,0.0033,0.1817,9,2,9,wilcoxon,0.10512,0.31535,0.105,0.315
mean_pairwise_indicator_jaccard,gemma3:12b,0.97,0.98,0.01,0.0,-0.04,0.0667,2,2,16,wilcoxon,0.715,1.0,0.715,1.000
mean_pairwise_indicator_jaccard,gpt-oss:20b,0.775,0.7817,0.0067,0.0,-0.1417,0.1417,8,5,7,wilcoxon,0.83283,1.0,0.833,1.000
mean_pairwise_indicator_jaccard,llama3,0.8233,0.9867,0.1633,0.1,0.0733,0.2533,10,1,9,wilcoxon,0.00596,0.02979,0.006,0.030
mean_pairwise_indicator_jaccard,qwen3:8b,0.9533,1.0,0.0467,0.0,0.01,0.09,4,0,16,wilcoxon,0.06332,0.25327,0.063,0.253
mean_pairwise_explanation_similarity,deepseek-r1:8b,0.8398,0.9586,0.1188,0.1526,0.0331,0.1941,15,2,3,wilcoxon,0.02166,0.10832,0.022,0.108
mean_pairwise_explanation_similarity,gemma3:12b,0.9012,0.9708,0.0696,0.0,0.0007,0.1391,8,4,8,wilcoxon,0.08426,0.25278,0.084,0.253
mean_pairwise_explanation_similarity,gpt-oss:20b,0.8001,0.7234,-0.0767,-0.0835,-0.1533,-0.0039,7,12,1,wilcoxon,0.091,0.25278,0.091,0.253
mean_pairwise_explanation_similarity,llama3,0.8247,0.915,0.0903,0.1217,0.0138,0.1666,11,6,3,wilcoxon,0.03724,0.14894,0.037,0.149
mean_pairwise_explanation_similarity,qwen3:8b,0.9695,0.9613,-0.0082,0.0,-0.0597,0.0412,4,5,11,wilcoxon,0.7671,0.7671,0.767,0.767
json_parse_validity_rate,deepseek-r1:8b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0,1.000,1.000
json_parse_validity_rate,gemma3:12b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0,1.000,1.000
json_parse_validity_rate,gpt-oss:20b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0,1.000,1.000
json_parse_validity_rate,llama3,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0,1.000,1.000
json_parse_validity_rate,qwen3:8b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0,1.000,1.000
required_fields_validity_rate,deepseek-r1:8b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0,1.000,1.000
required_fields_validity_rate,gemma3:12b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0,1.000,1.000
required_fields_validity_rate,gpt-oss:20b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0,1.000,1.000
required_fields_validity_rate,llama3,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0,1.000,1.000
required_fields_validity_rate,qwen3:8b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0,1.000,1.000
strict_schema_validity_rate,deepseek-r1:8b,0.95,0.6,-0.35,0.0,-0.55,-0.15,0,7,13,wilcoxon,0.00815,0.04075,0.008,0.041
strict_schema_validity_rate,gemma3:12b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0,1.000,1.000
strict_schema_validity_rate,gpt-oss:20b,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0,1.000,1.000
strict_schema_validity_rate,llama3,1.0,1.0,0.0,0.0,0.0,0.0,0,0,20,sign_test,1.0,1.0,1.000,1.000
