model,condition,scenario_id,mean_latency,median_latency,standard_deviation_latency,minimum_latency,maximum_latency,latency_coefficient_of_variation
deepseek-r1:8b,baseline,NORMAL_008,7.132,6.05,2.255,5.896,11.64,0.3161
deepseek-r1:8b,baseline,NORMAL_014,5.485,5.445,0.111,5.4,5.699,0.0202
deepseek-r1:8b,baseline,SEC_017,7.627,7.782,0.313,7.0,7.794,0.0411
deepseek-r1:8b,baseline,PROC_005,5.753,5.574,0.266,5.55,6.242,0.0463
deepseek-r1:8b,baseline,SEC_005,5.406,5.334,0.145,5.244,5.591,0.0268
deepseek-r1:8b,baseline,AUTH_005,5.388,5.413,0.096,5.205,5.489,0.0179
deepseek-r1:8b,baseline,USB_007,5.42,5.424,0.109,5.271,5.606,0.0201
deepseek-r1:8b,baseline,NET_005,5.51,5.486,0.205,5.321,5.886,0.0372
deepseek-r1:8b,baseline,AUTH_003,5.129,5.008,0.184,4.967,5.444,0.0359
deepseek-r1:8b,baseline,SEC_010,5.875,5.842,0.112,5.729,6.009,0.0191
deepseek-r1:8b,baseline,NET_012,5.408,5.4,0.151,5.181,5.659,0.028
deepseek-r1:8b,baseline,AUTH_009,5.527,5.38,0.211,5.355,5.901,0.0382
deepseek-r1:8b,baseline,USB_017,6.595,6.532,0.19,6.367,6.926,0.0288
deepseek-r1:8b,baseline,PROC_016,4.681,4.658,0.278,4.409,5.173,0.0594
deepseek-r1:8b,baseline,PERSIST_006,5.854,5.625,0.428,5.515,6.673,0.0732
deepseek-r1:8b,baseline,PROC_006,6.019,5.948,0.158,5.846,6.298,0.0262
deepseek-r1:8b,baseline,PERSIST_017,5.967,5.994,0.067,5.834,6.011,0.0112
deepseek-r1:8b,baseline,PERSIST_014,5.397,5.393,0.033,5.344,5.448,0.0062
deepseek-r1:8b,baseline,NORMAL_016,6.59,6.602,0.197,6.262,6.882,0.0299
deepseek-r1:8b,baseline,NORMAL_006,6.236,6.196,0.169,5.964,6.423,0.0271
gemma3:12b,baseline,NORMAL_008,12.314,9.909,4.894,9.771,22.101,0.3974
gemma3:12b,baseline,NORMAL_014,10.01,9.945,0.23,9.831,10.459,0.023
gemma3:12b,baseline,SEC_017,9.937,9.814,0.279,9.773,10.495,0.0281
gemma3:12b,baseline,PROC_005,11.905,11.573,0.666,11.474,13.23,0.056
gemma3:12b,baseline,SEC_005,9.927,9.802,0.221,9.73,10.342,0.0223
gemma3:12b,baseline,AUTH_005,10.715,10.604,0.245,10.569,11.204,0.0228
gemma3:12b,baseline,USB_007,10.182,10.173,0.029,10.141,10.226,0.0028
