model,condition,record_id,scenario_id,category,ground_truth_class,ground_truth_risk,scenario_source,repetitions,classification_mode,classification_mode_count,classification_agreement_rate,number_of_unique_classifications,classification_entropy,all_repetitions_classification_identical,risk_mode,risk_mode_count,risk_agreement_rate,number_of_unique_risk_levels,risk_entropy,all_repetitions_risk_identical,mean_pairwise_indicator_jaccard,minimum_pairwise_indicator_jaccard,maximum_pairwise_indicator_jaccard,indicator_union_size,indicator_intersection_size,all_repetitions_indicator_sets_identical,mean_pairwise_explanation_similarity,minimum_pairwise_explanation_similarity,json_parse_validity_rate,required_fields_validity_rate,classification_validity_rate,risk_level_validity_rate,indicator_list_validity_rate,strict_schema_validity_rate,first_attempt_strict_schema_success_rate,retry_rate,timeout_rate,empty_response_rate,indicator_vocabulary_compliance_rate,canonical_indicator_count,out_of_vocabulary_indicator_count,mean_out_of_vocabulary_indicators_per_response,unique_out_of_vocabulary_indicators,mean_latency,median_latency,standard_deviation_latency,minimum_latency,maximum_latency,latency_coefficient_of_variation,classification_accuracy_across_repetitions,risk_accuracy_across_repetitions,mean_ground_truth_indicator_precision,mean_ground_truth_indicator_recall,mean_ground_truth_indicator_f1
deepseek-r1:8b,rag,R002,NORMAL_008,NORMAL,normal,low,collected,5,normal,5,1.0,1,-0.0,True,low,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2,0,0,,5.86,4.803,2.202,4.488,10.253,0.3758,1.0,1.0,0.0,0.0,0.0
deepseek-r1:8b,rag,R005,NORMAL_014,NORMAL,normal,low,collected,5,INVALID_CLASSIFICATION,5,1.0,1,-0.0,True,INVALID_RISK,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,indicator_1; indicator_2,4.883,4.83,0.272,4.561,5.388,0.0558,0.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,rag,R006,SEC_017,SEC,normal,low,collected,5,normal,5,1.0,1,-0.0,True,low,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2,0,0,,4.834,4.765,0.177,4.674,5.176,0.0366,1.0,1.0,0.0,0.0,0.0
deepseek-r1:8b,rag,R011,PROC_005,PROC,abnormal,medium,collected,5,abnormal,5,1.0,1,-0.0,True,high,5,1.0,1,-0.0,True,0.7333,0.3333,1.0,3,1,False,0.6471,0.1176,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8,1.8,0.2,0.2,process_listing_context,4.913,4.701,0.62,4.413,6.128,0.1263,1.0,0.0,0.6,0.5,0.5333
deepseek-r1:8b,rag,R018,SEC_005,SEC,abnormal,high,collected,5,abnormal,5,1.0,1,-0.0,True,high,5,1.0,1,-0.0,True,1.0,1.0,1.0,1,1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0,,4.887,4.809,0.283,4.593,5.428,0.0579,1.0,1.0,1.0,0.5,0.6667
deepseek-r1:8b,rag,R028,AUTH_005,AUTH,abnormal,medium,collected,5,abnormal,5,1.0,1,-0.0,True,high,5,1.0,1,-0.0,True,1.0,1.0,1.0,3,3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,3,3,failed_login_activity: true; failed_login_count_band: high; network_context: private,5.534,5.308,0.387,5.268,6.286,0.07,1.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,rag,R029,USB_007,USB,abnormal,medium,collected,5,INVALID_CLASSIFICATION,5,1.0,1,-0.0,True,INVALID_RISK,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,indicator_1; indicator_2,4.903,4.828,0.2,4.772,5.3,0.0408,0.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,rag,R046,NET_005,NET,normal,low,collected,5,INVALID_CLASSIFICATION,5,1.0,1,-0.0,True,INVALID_RISK,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,indicator_1; indicator_2,4.917,4.795,0.273,4.734,5.461,0.0555,0.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,rag,R050,AUTH_003,AUTH,normal,low,collected,5,abnormal,5,1.0,1,-0.0,True,medium,5,1.0,1,-0.0,True,0.6,0.0,1.0,4,0,False,0.7241,0.3103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,"failed_login_activity = true; failed_login_activity: true; failed_login_count_band indicates multiple failures (band is 'multiple') and failed_logins count is 2, which aligns with the medium severity criteria; failed_login_count_band: multiple",5.863,5.842,0.168,5.61,6.126,0.0286,0.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,rag,R051,SEC_010,SEC,abnormal,high,collected,5,abnormal,5,1.0,1,-0.0,True,high,5,1.0,1,-0.0,True,1.0,1.0,1.0,1,1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0,,4.811,4.773,0.311,4.485,5.39,0.0647,1.0,1.0,1.0,0.5,0.6667
deepseek-r1:8b,rag,R060,NET_012,NET,abnormal,high,augmented,5,INVALID_CLASSIFICATION,5,1.0,1,-0.0,True,INVALID_RISK,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,indicator_1; indicator_2,4.799,4.798,0.011,4.789,4.818,0.0022,0.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,rag,R067,AUTH_009,AUTH,abnormal,high,collected,5,abnormal,5,1.0,1,-0.0,True,medium,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,failed_login_activity = true; failed_login_count_band indicates multiple failures (multiple),5.385,5.378,0.261,5.072,5.851,0.0484,1.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,rag,R079,USB_017,USB,normal,low,collected,5,normal,5,1.0,1,-0.0,True,low,5,1.0,1,-0.0,True,1.0,1.0,1.0,3,3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3,0,0,,5.113,5.021,0.25,4.894,5.574,0.049,1.0,1.0,0.0,0.0,0.0
deepseek-r1:8b,rag,R086,PROC_016,PROC,normal,low,collected,5,INVALID_CLASSIFICATION,5,1.0,1,-0.0,True,INVALID_RISK,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,indicator_1; indicator_2,4.738,4.793,0.148,4.547,4.951,0.0313,0.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,rag,R095,PERSIST_006,PERSIST,abnormal,high,collected,5,INVALID_CLASSIFICATION,5,1.0,1,-0.0,True,INVALID_RISK,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,indicator_1; indicator_2,4.912,4.784,0.271,4.728,5.45,0.0551,0.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,rag,R098,PROC_006,PROC,abnormal,medium,collected,5,INVALID_CLASSIFICATION,5,1.0,1,-0.0,True,INVALID_RISK,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,indicator_1; indicator_2,4.924,4.786,0.283,4.749,5.489,0.0575,0.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,rag,R099,PERSIST_017,PERSIST,normal,low,collected,5,normal,5,1.0,1,-0.0,True,low,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,0.8,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2,0,0,,4.853,4.767,0.193,4.739,5.238,0.0397,1.0,1.0,0.0,0.0,0.0
deepseek-r1:8b,rag,R105,PERSIST_014,PERSIST,abnormal,critical,augmented,5,INVALID_CLASSIFICATION,5,1.0,1,-0.0,True,INVALID_RISK,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,indicator_1; indicator_2,4.857,4.779,0.311,4.554,5.455,0.0641,0.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,rag,R113,NORMAL_016,NORMAL,normal,low,collected,5,normal,5,1.0,1,-0.0,True,low,5,1.0,1,-0.0,True,1.0,1.0,1.0,3,3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3,0,0,,5.017,4.881,0.224,4.808,5.415,0.0446,1.0,1.0,0.0,0.0,0.0
deepseek-r1:8b,rag,R114,NORMAL_006,NORMAL,normal,low,collected,5,normal,5,1.0,1,-0.0,True,low,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2,0,0,,4.978,4.799,0.261,4.783,5.455,0.0524,1.0,1.0,0.0,0.0,0.0
gemma3:12b,rag,R002,NORMAL_008,NORMAL,normal,low,collected,5,normal,5,1.0,1,-0.0,True,low,5,1.0,1,-0.0,True,1.0,1.0,1.0,3,3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3,0,0,,12.925,10.373,5.102,10.316,23.129,0.3947,1.0,1.0,0.0,0.0,0.0
gemma3:12b,rag,R005,NORMAL_014,NORMAL,normal,low,collected,5,abnormal,5,1.0,1,-0.0,True,high,5,1.0,1,-0.0,True,1.0,1.0,1.0,1,1,True,0.95,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0,,9.913,9.525,0.852,9.314,11.605,0.086,0.0,0.0,0.0,0.0,0.0
gemma3:12b,rag,R006,SEC_017,SEC,normal,low,collected,5,normal,5,1.0,1,-0.0,True,low,5,1.0,1,-0.0,True,1.0,1.0,1.0,3,3,True,0.95,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3,0,0,,10.971,10.404,1.153,10.379,13.277,0.1051,1.0,1.0,0.0,0.0,0.0
gemma3:12b,rag,R011,PROC_005,PROC,abnormal,medium,collected,5,abnormal,5,1.0,1,-0.0,True,medium,5,1.0,1,-0.0,True,1.0,1.0,1.0,3,3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3,0,0,,10.865,10.303,1.218,10.125,13.297,0.1121,1.0,1.0,0.3333,0.5,0.4
gemma3:12b,rag,R018,SEC_005,SEC,abnormal,high,collected,5,abnormal,5,1.0,1,-0.0,True,high,5,1.0,1,-0.0,True,1.0,1.0,1.0,1,1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0,,10.478,9.931,1.122,9.87,12.721,0.107,1.0,1.0,1.0,0.5,0.6667
gemma3:12b,rag,R028,AUTH_005,AUTH,abnormal,medium,collected,5,abnormal,5,1.0,1,-0.0,True,medium,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2,0,0,,11.825,11.364,1.031,11.219,13.883,0.0872,1.0,1.0,0.5,1.0,0.6667
gemma3:12b,rag,R029,USB_007,USB,abnormal,medium,collected,5,abnormal,5,1.0,1,-0.0,True,high,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2,0,0,,10.935,10.471,1.104,10.285,13.138,0.101,1.0,0.0,0.5,0.3333,0.4
gemma3:12b,rag,R046,NET_005,NET,normal,low,collected,5,abnormal,5,1.0,1,-0.0,True,high,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2,0,0,,10.455,10.02,0.967,9.913,12.387,0.0925,0.0,0.0,0.5,0.5,0.5
gemma3:12b,rag,R050,AUTH_003,AUTH,normal,low,collected,5,abnormal,5,1.0,1,-0.0,True,medium,5,1.0,1,-0.0,True,0.7333,0.3333,1.0,3,1,False,0.7333,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8,1.8,0.2,0.2,multiple,11.561,11.236,0.65,11.104,12.839,0.0562,0.0,0.0,0.0,0.0,0.0
gemma3:12b,rag,R051,SEC_010,SEC,abnormal,high,collected,5,abnormal,5,1.0,1,-0.0,True,high,5,1.0,1,-0.0,True,1.0,1.0,1.0,3,3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3,0,0,,10.721,10.108,1.294,9.969,13.307,0.1207,1.0,1.0,0.6667,1.0,0.8
gemma3:12b,rag,R060,NET_012,NET,abnormal,high,augmented,5,abnormal,5,1.0,1,-0.0,True,high,5,1.0,1,-0.0,True,1.0,1.0,1.0,3,3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3,0,0,,11.559,11.019,1.115,10.96,13.788,0.0964,1.0,1.0,0.3333,0.5,0.4
gemma3:12b,rag,R067,AUTH_009,AUTH,abnormal,high,collected,5,abnormal,5,1.0,1,-0.0,True,medium,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1,1,risky_processes,11.247,10.559,1.403,10.464,14.052,0.1248,1.0,0.0,0.0,0.0,0.0
gemma3:12b,rag,R079,USB_017,USB,normal,low,collected,5,normal,5,1.0,1,-0.0,True,low,5,1.0,1,-0.0,True,1.0,1.0,1.0,3,3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3,0,0,,10.941,10.423,1.094,10.31,13.128,0.1,1.0,1.0,0.0,0.0,0.0
gemma3:12b,rag,R086,PROC_016,PROC,normal,low,collected,5,normal,5,1.0,1,-0.0,True,low,5,1.0,1,-0.0,True,1.0,1.0,1.0,6,6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6,0,0,,12.514,11.996,1.182,11.803,14.874,0.0945,1.0,1.0,0.1667,0.5,0.25
gemma3:12b,rag,R095,PERSIST_006,PERSIST,abnormal,high,collected,5,abnormal,5,1.0,1,-0.0,True,medium,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,0.8333,0.5833,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,scheduled_task_change; scheduled_task_details,10.91,10.459,1.085,10.243,13.074,0.0995,1.0,0.0,0.0,0.0,0.0
gemma3:12b,rag,R098,PROC_006,PROC,abnormal,medium,collected,5,normal,5,1.0,1,-0.0,True,low,5,1.0,1,-0.0,True,0.8667,0.6667,1.0,3,2,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.8,0,0,,10.493,10.021,1.038,9.866,12.565,0.0989,0.0,0.0,0.0,0.0,0.0
gemma3:12b,rag,R099,PERSIST_017,PERSIST,normal,low,collected,5,normal,5,1.0,1,-0.0,True,low,5,1.0,1,-0.0,True,1.0,1.0,1.0,3,3,True,0.95,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3,0,0,,11.188,10.595,1.248,10.469,13.679,0.1115,1.0,1.0,0.0,0.0,0.0
gemma3:12b,rag,R105,PERSIST_014,PERSIST,abnormal,critical,augmented,5,abnormal,5,1.0,1,-0.0,True,high,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1,1,service_change,10.201,9.676,1.087,9.628,12.375,0.1066,1.0,0.0,0.0,0.0,0.0
gemma3:12b,rag,R113,NORMAL_016,NORMAL,normal,low,collected,5,normal,5,1.0,1,-0.0,True,low,5,1.0,1,-0.0,True,1.0,1.0,1.0,4,4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4,0,0,,12.379,11.743,1.348,11.642,15.074,0.1089,1.0,1.0,0.0,0.0,0.0
gemma3:12b,rag,R114,NORMAL_006,NORMAL,normal,low,collected,5,normal,5,1.0,1,-0.0,True,low,5,1.0,1,-0.0,True,1.0,1.0,1.0,3,3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3,0,0,,11.029,10.641,1.047,10.299,13.107,0.0949,1.0,1.0,0.0,0.0,0.0
