model,condition,scenarios,json_parse_validity_rate,required_fields_validity_rate,strict_schema_validity_rate,first_attempt_strict_schema_success_rate,indicator_vocabulary_compliance_rate,retry_rate,timeout_rate,empty_response_rate
deepseek-r1:8b,baseline,20,1.0,1.0,0.95,0.95,0.0,0.0,0.0,0.0
gemma3:12b,baseline,20,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
gpt-oss:20b,baseline,20,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
llama3,baseline,20,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
qwen3:8b,baseline,20,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,rag,20,1.0,1.0,0.6,0.6,0.44,0.0,0.0,0.0
gemma3:12b,rag,20,1.0,1.0,1.0,1.0,0.84,0.0,0.0,0.0
gpt-oss:20b,rag,20,1.0,1.0,1.0,1.0,0.45,0.0,0.0,0.0
llama3,rag,20,1.0,1.0,1.0,1.0,0.51,0.0,0.0,0.0
qwen3:8b,rag,20,1.0,1.0,1.0,1.0,0.75,0.0,0.0,0.0
