study,model,condition,indicator_overlap_or_jaccard,indicator_vocabulary_compliance_rate
primary_120_scenario,llama3,baseline,0.0042,
primary_120_scenario,llama3,rag,0.2472,
primary_120_scenario,deepseek-r1_8b,baseline,0.0000,
primary_120_scenario,deepseek-r1_8b,rag,0.1524,
primary_120_scenario,gemma3_12b,baseline,0.0528,
primary_120_scenario,gemma3_12b,rag,0.3167,
primary_120_scenario,qwen3_8b,baseline,0.0694,
primary_120_scenario,qwen3_8b,rag,0.2125,
primary_120_scenario,gpt-oss_20b,baseline,0.0042,
primary_120_scenario,gpt-oss_20b,rag,0.1806,
consistency_1000_record,deepseek-r1:8b,baseline,0.8717,0.0
consistency_1000_record,gemma3:12b,baseline,0.97,0.0
consistency_1000_record,gpt-oss:20b,baseline,0.775,0.0
consistency_1000_record,llama3,baseline,0.8233,0.0
consistency_1000_record,qwen3:8b,baseline,0.9533,0.0
consistency_1000_record,deepseek-r1:8b,rag,0.9667,0.44
consistency_1000_record,gemma3:12b,rag,0.98,0.84
consistency_1000_record,gpt-oss:20b,rag,0.7817,0.45
consistency_1000_record,llama3,rag,0.9867,0.51
consistency_1000_record,qwen3:8b,rag,1.0,0.75
otrf_external,llama3,baseline,,0.0
otrf_external,llama3,rag,,0.6842
otrf_external,deepseek-r1:8b,baseline,,0.0
otrf_external,deepseek-r1:8b,rag,,0.4
otrf_external,gemma3:12b,baseline,,0.1613
otrf_external,gemma3:12b,rag,,0.5429
otrf_external,qwen3:8b,baseline,,0.1458
otrf_external,qwen3:8b,rag,,0.4359
otrf_external,gpt-oss:20b,baseline,,0.0571
otrf_external,gpt-oss:20b,rag,,0.2821
