model,condition,expected_scenarios,observed_outputs,valid_classification_outputs,invalid_classification_outputs,missing_outputs,fallback_outputs,output_coverage,ground_truth_normal,ground_truth_abnormal,TP,TN,valid_FP,valid_FN,invalid_normal,invalid_abnormal,missing_normal,missing_abnormal,fallback_normal,fallback_abnormal,all_scenario_accuracy,valid_output_accuracy,committed_output_precision,valid_output_recall,valid_output_f1,coverage_adjusted_recall,coverage_adjusted_false_negative_rate,coverage_adjusted_specificity,coverage_adjusted_balanced_accuracy,coverage_adjusted_f1,risk_accuracy_all_scenarios,indicator_overlap,mean_latency_seconds,accuracy_ci_low,accuracy_ci_high,cohens_kappa_valid_outputs
llama3,baseline,120,120,120,0,0,0,1.0000,62,58,49,42,20,9,0,0,0,0,0,0,0.7583,0.7583,0.7101,0.8448,0.7717,0.8448,0.1552,0.6774,0.7611,0.7717,0.4417,0.0319,5.1355,0.6745,0.8261,0.5191
llama3,rag,120,120,120,0,0,0,1.0000,62,58,56,49,13,2,0,0,0,0,0,0,0.8750,0.8750,0.8116,0.9655,0.8819,0.9655,0.0345,0.7903,0.8779,0.8819,0.5833,0.3014,5.5354,0.8040,0.9228,0.7512
deepseek-r1_8b,baseline,120,120,119,1,0,0,1.0000,62,58,51,51,10,7,1,0,0,0,0,0,0.8500,0.8571,0.8361,0.8793,0.8571,0.8793,0.1207,0.8226,0.8509,0.8571,0.5833,0.0798,6.0363,0.7753,0.9030,0.7145
deepseek-r1_8b,rag,120,120,82,38,0,0,1.0000,62,58,29,46,2,5,14,24,0,0,0,0,0.6250,0.9146,0.9355,0.8529,0.8923,0.5000,0.5000,0.7419,0.6210,0.6517,0.5083,0.2093,5.5166,0.5358,0.7065,0.8218
gemma3_12b,baseline,120,120,120,0,0,0,1.0000,62,58,58,42,20,0,0,0,0,0,0,0,0.8333,0.8333,0.7436,1.0000,0.8529,1.0000,0.0000,0.6774,0.8387,0.8529,0.5250,0.1042,11.0498,0.7565,0.8894,0.6700
gemma3_12b,rag,120,120,120,0,0,0,1.0000,62,58,52,54,8,6,0,0,0,0,0,0,0.8833,0.8833,0.8667,0.8966,0.8814,0.8966,0.1034,0.8710,0.8838,0.8814,0.6333,0.3542,13.6177,0.8137,0.9292,0.7667
qwen3_8b,baseline,120,120,120,0,0,0,1.0000,62,58,44,58,4,14,0,0,0,0,0,0,0.8500,0.8500,0.9167,0.7586,0.8302,0.7586,0.2414,0.9355,0.8471,0.8302,0.5750,0.1167,4.8270,0.7753,0.9030,0.6980
qwen3_8b,rag,120,120,120,0,0,0,1.0000,62,58,41,59,3,17,0,0,0,0,0,0,0.8333,0.8333,0.9318,0.7069,0.8039,0.7069,0.2931,0.9516,0.8293,0.8039,0.6667,0.2583,5.2002,0.7565,0.8894,0.6637
gpt-oss_20b,baseline,120,120,120,0,0,0,1.0000,62,58,41,57,5,17,0,0,0,0,0,0,0.8167,0.8167,0.8913,0.7069,0.7885,0.7069,0.2931,0.9194,0.8131,0.7885,0.6083,0.0403,12.1472,0.7380,0.8757,0.6305
gpt-oss_20b,rag,120,120,120,0,0,0,1.0000,62,58,47,54,8,11,0,0,0,0,0,0,0.8417,0.8417,0.8545,0.8103,0.8319,0.8103,0.1897,0.8710,0.8407,0.8319,0.6333,0.2486,17.2804,0.7659,0.8962,0.6825
