model,category,baseline_all_scenario_accuracy,rag_all_scenario_accuracy,delta,n
llama3,NORMAL,0.8333,0.8333,0.0000,18
llama3,AUTH,0.5882,0.7647,0.1765,17
llama3,USB,0.6471,0.8235,0.1765,17
llama3,SEC,0.8235,0.9412,0.1176,17
llama3,PROC,0.7059,1.0000,0.2941,17
llama3,NET,0.8235,0.8235,0.0000,17
llama3,PERSIST,0.8824,0.9412,0.0588,17
deepseek-r1_8b,NORMAL,0.8333,0.8333,0.0000,18
deepseek-r1_8b,AUTH,0.7647,0.5294,-0.2353,17
deepseek-r1_8b,USB,0.8235,0.3529,-0.4706,17
deepseek-r1_8b,SEC,0.9412,0.7059,-0.2353,17
deepseek-r1_8b,PROC,0.9412,0.7059,-0.2353,17
deepseek-r1_8b,NET,0.7647,0.5882,-0.1765,17
deepseek-r1_8b,PERSIST,0.8824,0.6471,-0.2353,17
gemma3_12b,NORMAL,0.8333,0.8889,0.0556,18
gemma3_12b,AUTH,0.7647,0.7059,-0.0588,17
gemma3_12b,USB,1.0000,0.8824,-0.1176,17
gemma3_12b,SEC,0.8235,0.9412,0.1176,17
gemma3_12b,PROC,0.7059,0.8824,0.1765,17
gemma3_12b,NET,0.8824,0.8824,0.0000,17
gemma3_12b,PERSIST,0.8235,1.0000,0.1765,17
qwen3_8b,NORMAL,1.0000,1.0000,0.0000,18
qwen3_8b,AUTH,0.7647,0.7647,0.0000,17
qwen3_8b,USB,0.8235,0.7059,-0.1176,17
qwen3_8b,SEC,0.8824,1.0000,0.1176,17
qwen3_8b,PROC,0.7059,0.6471,-0.0588,17
qwen3_8b,NET,0.8824,0.8235,-0.0588,17
qwen3_8b,PERSIST,0.8824,0.8824,0.0000,17
gpt-oss_20b,NORMAL,0.8889,0.8333,-0.0556,18
gpt-oss_20b,AUTH,0.7647,0.7059,-0.0588,17
gpt-oss_20b,USB,0.7647,0.8824,0.1176,17
gpt-oss_20b,SEC,0.8824,0.9412,0.0588,17
gpt-oss_20b,PROC,0.8235,0.8235,0.0000,17
gpt-oss_20b,NET,0.7059,0.7647,0.0588,17
gpt-oss_20b,PERSIST,0.8824,0.9412,0.0588,17
